timestamp,equipment_id,equipment_type,vibration_mms,temperature_c,pressure_psi,rpm,oil_flow_rate,current_draw_a,hours_since_maintenance,failure_label
2023-01-01 09:00:00,EQ-018,Generator,5.098,84.92,462.53,1449.4,143.9,43.19,418,0
2023-01-01 13:00:00,EQ-015,Pipeline,1.712,76.18,426.89,1516.0,123.74,44.74,65,0
2023-01-02 01:00:00,EQ-012,Valve,3.132,79.32,468.07,1503.0,124.38,41.9,320,0
2023-01-02 18:00:00,EQ-001,Pipeline,13.3,101.85,339.79,819.9,62.76,67.3,524,1
2023-01-03 12:00:00,EQ-012,Valve,2.315,74.56,443.17,1500.1,120.87,52.47,161,0
2023-01-03 12:00:00,EQ-014,Compressor,2.259,82.06,439.22,1484.8,117.84,43.19,375,0
2023-01-03 16:00:00,EQ-015,Pipeline,3.465,73.62,418.74,1460.2,129.31,47.03,378,0
2023-01-03 23:00:00,EQ-012,Valve,3.675,70.79,401.29,1534.2,111.85,45.53,492,0
2023-01-04 04:00:00,EQ-013,Generator,3.345,70.32,448.66,1498.7,123.85,43.41,488,0
2023-01-04 04:00:00,EQ-012,Valve,4.052,77.12,453.25,1608.1,113.83,44.78,27,0
2023-01-04 08:00:00,EQ-019,Pump,4.027,72.77,457.43,1524.8,123.93,43.79,196,0
2023-01-04 15:00:00,EQ-014,Compressor,12.766,122.73,,800.9,61.69,69.47,602,1
2023-01-04 20:00:00,EQ-003,Valve,3.721,66.19,432.32,1481.8,115.67,40.06,23,0
2023-01-05 00:00:00,EQ-020,Pipeline,2.701,,489.83,1519.6,135.9,43.29,122,0
2023-01-05 02:00:00,EQ-014,Compressor,3.318,79.6,467.1,1513.7,119.63,50.71,370,0
2023-01-05 08:00:00,EQ-004,Generator,2.34,73.42,459.51,1459.9,118.02,40.16,271,0
2023-01-05 09:00:00,EQ-006,Compressor,4.01,83.08,422.15,1498.3,103.83,44.31,69,0
2023-01-05 09:00:00,EQ-011,Pipeline,2.927,79.79,468.42,1438.8,121.79,47.73,28,0
2023-01-05 14:00:00,EQ-015,Pipeline,2.468,67.46,475.57,1387.7,117.99,53.95,119,0
2023-01-05 14:00:00,EQ-016,Compressor,15.323,114.58,216.91,782.5,65.08,78.28,881,1
2023-01-05 22:00:00,EQ-002,Generator,10.985,99.38,304.52,1178.8,66.88,79.82,849,1
2023-01-06 00:00:00,EQ-007,Valve,2.92,73.36,417.87,1481.4,131.85,41.19,321,0
2023-01-06 10:00:00,EQ-013,Generator,2.666,81.39,444.78,1506.7,124.13,39.21,348,0
2023-01-06 15:00:00,EQ-016,Compressor,3.704,77.42,443.15,1536.5,134.57,40.43,293,0
2023-01-06 18:00:00,EQ-017,Pipeline,3.649,80.3,413.47,1507.1,132.0,45.18,209,0
2023-01-06 20:00:00,EQ-012,Valve,,77.35,435.85,1464.4,118.89,42.31,348,0
2023-01-06 23:00:00,EQ-016,Compressor,4.792,73.39,476.51,1429.7,125.86,42.79,298,0
2023-01-07 04:00:00,EQ-012,Valve,3.187,76.21,454.99,1499.4,112.95,46.98,489,0
2023-01-07 04:00:00,EQ-016,Compressor,,78.04,505.53,1502.0,112.65,38.94,198,0
2023-01-07 07:00:00,EQ-008,Valve,2.346,79.27,451.74,1518.8,136.77,41.51,330,0
2023-01-07 14:00:00,EQ-015,Pipeline,1.137,71.79,437.48,1451.1,121.22,43.74,478,0
2023-01-07 21:00:00,EQ-017,Pipeline,2.285,60.84,440.98,1527.6,132.0,43.61,309,0
2023-01-07 21:00:00,EQ-003,Valve,2.675,80.57,450.7,1444.6,102.49,40.42,338,0
2023-01-08 07:00:00,EQ-005,Generator,4.052,76.33,463.16,1496.5,108.13,48.17,55,0
2023-01-08 15:00:00,EQ-008,Valve,3.808,,472.42,1578.5,119.33,48.58,104,0
2023-01-08 21:00:00,EQ-002,Generator,9.204,125.87,322.76,742.7,38.31,83.74,731,1
2023-01-08 23:00:00,EQ-020,Pipeline,4.12,82.43,427.73,1567.3,131.31,41.57,78,0
2023-01-09 19:00:00,EQ-018,Generator,2.805,75.49,472.08,1487.2,117.64,43.78,302,0
2023-01-10 10:00:00,EQ-005,Generator,3.771,73.52,453.37,1565.9,,48.42,394,0
2023-01-10 15:00:00,EQ-020,Pipeline,3.437,72.1,440.38,1534.8,114.82,44.74,290,0
2023-01-10 20:00:00,EQ-018,Generator,4.683,75.51,448.88,1422.1,130.65,43.62,387,0
2023-01-10 22:00:00,EQ-016,Compressor,13.976,118.46,300.93,1025.9,47.58,92.75,891,1
2023-01-11 02:00:00,EQ-001,Pipeline,2.607,69.88,461.6,1552.4,115.23,49.91,134,0
2023-01-11 09:00:00,EQ-008,Valve,4.741,75.58,473.59,1503.4,140.61,50.27,221,0
2023-01-11 12:00:00,EQ-013,Generator,3.606,74.74,,1435.5,123.9,45.24,232,0
2023-01-11 15:00:00,EQ-004,Generator,3.797,72.57,453.61,1570.9,111.8,43.68,101,0
2023-01-11 15:00:00,EQ-009,Valve,4.009,77.51,465.51,1485.0,141.73,38.08,248,0
2023-01-11 20:00:00,EQ-015,Pipeline,2.615,71.13,,1506.9,118.04,46.53,272,0
2023-01-12 06:00:00,EQ-006,Compressor,3.479,82.28,443.99,1525.5,128.77,44.41,137,0
2023-01-12 06:00:00,EQ-016,Compressor,4.385,74.43,466.79,1451.6,116.16,47.86,139,0
2023-01-12 07:00:00,EQ-012,Valve,3.144,82.27,481.59,1473.9,115.8,44.15,141,0
2023-01-12 12:00:00,EQ-004,Generator,10.627,106.89,396.28,1056.9,61.74,84.23,1093,1
2023-01-12 18:00:00,EQ-004,Generator,2.623,80.47,462.55,1567.9,120.25,42.54,152,0
2023-01-13 07:00:00,EQ-016,Compressor,3.814,77.47,458.85,1502.3,135.32,38.08,89,0
2023-01-13 13:00:00,EQ-008,Valve,4.211,,429.22,1525.1,123.26,45.09,21,0
